Value	Counts	Error	SimpleError
9.9908675000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908690000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908705000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908720000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908735000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908750000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908765000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908780000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908795000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908810000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908825000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908840000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908855000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908870000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908885000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908900000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908915000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908930000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908945000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908960000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908975000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908990000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909005000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909020000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909035000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909050000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9909065000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
